entidad,municipio,municipio_nombre,seccion,section_id,distrito_local,distrito_federal
11,020,LEON,1261,110201261,3,
11,020,LEON,1262,110201262,3,
11,020,LEON,1263,110201263,3,
11,020,LEON,1264,110201264,3,
11,020,LEON,1265,110201265,3,
11,020,LEON,1266,110201266,3,
11,020,LEON,1267,110201267,3,
11,020,LEON,1269,110201269,3,
11,020,LEON,1270,110201270,3,
11,020,LEON,1271,110201271,3,
11,020,LEON,1272,110201272,3,
11,020,LEON,1273,110201273,3,
11,020,LEON,1274,110201274,3,
11,020,LEON,1275,110201275,3,
11,020,LEON,1276,110201276,3,
11,020,LEON,1277,110201277,3,
11,020,LEON,1279,110201279,3,
11,020,LEON,1280,110201280,3,
11,020,LEON,1281,110201281,3,
11,020,LEON,1283,110201283,3,
11,020,LEON,1286,110201286,3,
11,020,LEON,1287,110201287,3,
11,020,LEON,1288,110201288,3,
11,020,LEON,1289,110201289,3,
11,020,LEON,1290,110201290,3,
11,020,LEON,1291,110201291,3,
11,020,LEON,1292,110201292,3,
11,020,LEON,1293,110201293,3,
11,020,LEON,1294,110201294,3,
11,020,LEON,1295,110201295,3,
11,020,LEON,1296,110201296,3,
11,020,LEON,1297,110201297,6,
11,020,LEON,1298,110201298,6,
11,020,LEON,1299,110201299,3,
11,020,LEON,1300,110201300,3,
11,020,LEON,1301,110201301,3,
11,020,LEON,1302,110201302,3,
11,020,LEON,1303,110201303,3,
11,020,LEON,1304,110201304,3,
11,020,LEON,1305,110201305,3,
11,020,LEON,1306,110201306,3,
11,020,LEON,1307,110201307,3,
11,020,LEON,1308,110201308,6,
11,020,LEON,1309,110201309,6,
11,020,LEON,1310,110201310,3,
11,020,LEON,1311,110201311,3,
11,020,LEON,1312,110201312,3,
11,020,LEON,1313,110201313,3,
11,020,LEON,1314,110201314,3,
11,020,LEON,1315,110201315,3,
11,020,LEON,1316,110201316,3,
11,020,LEON,1317,110201317,3,
11,020,LEON,1318,110201318,3,
11,020,LEON,1319,110201319,3,
11,020,LEON,1320,110201320,3,
11,020,LEON,1321,110201321,3,
11,020,LEON,1322,110201322,6,
11,020,LEON,1323,110201323,6,
11,020,LEON,1324,110201324,6,
11,020,LEON,1325,110201325,3,
11,020,LEON,1326,110201326,3,
11,020,LEON,1327,110201327,3,
11,020,LEON,1328,110201328,3,
11,020,LEON,1329,110201329,3,
11,020,LEON,1330,110201330,3,
11,020,LEON,1331,110201331,3,
11,020,LEON,1332,110201332,3,
11,020,LEON,1333,110201333,6,
11,020,LEON,1334,110201334,6,
11,020,LEON,1335,110201335,6,
11,020,LEON,1336,110201336,6,
11,020,LEON,1337,110201337,3,
11,020,LEON,1338,110201338,3,
11,020,LEON,1339,110201339,3,
11,020,LEON,1340,110201340,3,
11,020,LEON,1341,110201341,3,
11,020,LEON,1342,110201342,3,
11,020,LEON,1343,110201343,6,
11,020,LEON,1344,110201344,6,
11,020,LEON,1345,110201345,6,
11,020,LEON,1346,110201346,6,
11,020,LEON,1347,110201347,6,
11,020,LEON,1348,110201348,6,
11,020,LEON,1349,110201349,6,
11,020,LEON,1350,110201350,3,
11,020,LEON,1351,110201351,3,
11,020,LEON,1352,110201352,3,
11,020,LEON,1353,110201353,3,
11,020,LEON,1354,110201354,3,
11,020,LEON,1355,110201355,3,
11,020,LEON,1356,110201356,3,
11,020,LEON,1357,110201357,3,
11,020,LEON,1358,110201358,3,
11,020,LEON,1359,110201359,3,
11,020,LEON,1360,110201360,3,
11,020,LEON,1361,110201361,3,
11,020,LEON,1362,110201362,3,
11,020,LEON,1363,110201363,3,
11,020,LEON,1364,110201364,6,
11,020,LEON,1365,110201365,6,
11,020,LEON,1366,110201366,6,
11,020,LEON,1367,110201367,6,
11,020,LEON,1368,110201368,6,
11,020,LEON,1369,110201369,6,
11,020,LEON,1370,110201370,3,
11,020,LEON,1371,110201371,3,
11,020,LEON,1372,110201372,3,
11,020,LEON,1373,110201373,3,
11,020,LEON,1374,110201374,3,
11,020,LEON,1375,110201375,3,
11,020,LEON,1376,110201376,3,
11,020,LEON,1377,110201377,3,
11,020,LEON,1378,110201378,3,
11,020,LEON,1379,110201379,3,
11,020,LEON,1380,110201380,3,
11,020,LEON,1381,110201381,6,
11,020,LEON,1382,110201382,6,
11,020,LEON,1383,110201383,6,
11,020,LEON,1384,110201384,6,
11,020,LEON,1385,110201385,3,
11,020,LEON,1386,110201386,6,
11,020,LEON,1387,110201387,6,
11,020,LEON,1388,110201388,6,
11,020,LEON,1389,110201389,6,
11,020,LEON,1390,110201390,6,
11,020,LEON,1391,110201391,6,
11,020,LEON,1393,110201393,6,
11,020,LEON,1394,110201394,6,
11,020,LEON,1395,110201395,6,
11,020,LEON,1396,110201396,6,
11,020,LEON,1397,110201397,6,
11,020,LEON,1398,110201398,3,
11,020,LEON,1399,110201399,3,
11,020,LEON,1400,110201400,3,
11,020,LEON,1401,110201401,3,
11,020,LEON,1402,110201402,3,
11,020,LEON,1403,110201403,3,
11,020,LEON,1404,110201404,3,
11,020,LEON,1405,110201405,3,
11,020,LEON,1406,110201406,6,
11,020,LEON,1407,110201407,6,
11,020,LEON,1408,110201408,6,
11,020,LEON,1409,110201409,6,
11,020,LEON,1410,110201410,6,
11,020,LEON,1411,110201411,6,
11,020,LEON,1412,110201412,6,
11,020,LEON,1413,110201413,6,
11,020,LEON,1414,110201414,6,
11,020,LEON,1415,110201415,6,
11,020,LEON,1416,110201416,6,
11,020,LEON,1417,110201417,6,
11,020,LEON,1418,110201418,6,
11,020,LEON,1419,110201419,3,
11,020,LEON,1420,110201420,3,
11,020,LEON,1421,110201421,3,
11,020,LEON,1422,110201422,3,
11,020,LEON,1423,110201423,3,
11,020,LEON,1424,110201424,3,
11,020,LEON,1425,110201425,3,
11,020,LEON,1426,110201426,3,
11,020,LEON,1427,110201427,3,
11,020,LEON,1428,110201428,3,
11,020,LEON,1429,110201429,3,
11,020,LEON,1430,110201430,6,
11,020,LEON,1431,110201431,6,
11,020,LEON,1432,110201432,6,
11,020,LEON,1433,110201433,6,
11,020,LEON,1434,110201434,6,
11,020,LEON,1435,110201435,6,
11,020,LEON,1436,110201436,6,
11,020,LEON,1437,110201437,6,
11,020,LEON,1438,110201438,6,
11,020,LEON,1439,110201439,6,
11,020,LEON,1440,110201440,6,
11,020,LEON,1441,110201441,6,
11,020,LEON,1442,110201442,6,
11,020,LEON,1443,110201443,6,
11,020,LEON,1444,110201444,3,
11,020,LEON,1445,110201445,3,
11,020,LEON,1446,110201446,3,
11,020,LEON,1447,110201447,3,
11,020,LEON,1448,110201448,6,
11,020,LEON,1449,110201449,6,
11,020,LEON,1450,110201450,6,
11,020,LEON,1451,110201451,6,
11,020,LEON,1452,110201452,6,
11,020,LEON,1453,110201453,6,
11,020,LEON,1454,110201454,3,
11,020,LEON,1455,110201455,3,
11,020,LEON,1456,110201456,3,
11,020,LEON,1457,110201457,3,
11,020,LEON,1458,110201458,3,
11,020,LEON,1459,110201459,3,
11,020,LEON,1460,110201460,3,
11,020,LEON,1461,110201461,3,
11,020,LEON,1462,110201462,11,
11,020,LEON,1463,110201463,11,
11,020,LEON,1464,110201464,5,
11,020,LEON,1465,110201465,5,
11,020,LEON,1466,110201466,5,
11,020,LEON,1467,110201467,5,
11,020,LEON,1468,110201468,5,
11,020,LEON,1469,110201469,5,
11,020,LEON,1470,110201470,3,
11,020,LEON,1471,110201471,3,
11,020,LEON,1472,110201472,3,
11,020,LEON,1473,110201473,3,
11,020,LEON,1474,110201474,6,
11,020,LEON,1475,110201475,6,
11,020,LEON,1476,110201476,6,
11,020,LEON,1478,110201478,3,
11,020,LEON,1479,110201479,3,
11,020,LEON,1480,110201480,3,
11,020,LEON,1481,110201481,3,
11,020,LEON,1482,110201482,6,
11,020,LEON,1483,110201483,5,
11,020,LEON,1485,110201485,6,
11,020,LEON,1486,110201486,6,
11,020,LEON,1487,110201487,6,
11,020,LEON,1488,110201488,6,
11,020,LEON,1489,110201489,6,
11,020,LEON,1491,110201491,5,
11,020,LEON,1492,110201492,5,
11,020,LEON,1497,110201497,6,
11,020,LEON,1498,110201498,6,
11,020,LEON,1499,110201499,6,
11,020,LEON,1501,110201501,5,
11,020,LEON,1502,110201502,5,
11,020,LEON,1503,110201503,6,
11,020,LEON,1504,110201504,6,
11,020,LEON,1505,110201505,6,
11,020,LEON,1506,110201506,6,
11,020,LEON,1507,110201507,5,
11,020,LEON,1511,110201511,5,
11,020,LEON,1512,110201512,6,
11,020,LEON,1513,110201513,6,
11,020,LEON,1514,110201514,11,
11,020,LEON,1515,110201515,11,
11,020,LEON,1516,110201516,11,
11,020,LEON,1517,110201517,11,
11,020,LEON,1518,110201518,11,
11,020,LEON,1519,110201519,11,
11,020,LEON,1520,110201520,11,
11,020,LEON,1521,110201521,11,
11,020,LEON,1522,110201522,11,
11,020,LEON,1523,110201523,11,
11,020,LEON,1524,110201524,11,
11,020,LEON,1525,110201525,11,
11,020,LEON,1526,110201526,11,
11,020,LEON,1527,110201527,11,
11,020,LEON,1528,110201528,11,
11,020,LEON,1529,110201529,11,
11,020,LEON,1530,110201530,11,
11,020,LEON,1531,110201531,11,
11,020,LEON,1532,110201532,11,
11,020,LEON,1533,110201533,11,
11,020,LEON,1534,110201534,11,
11,020,LEON,1535,110201535,11,
11,020,LEON,1536,110201536,11,
11,020,LEON,1537,110201537,11,
11,020,LEON,1538,110201538,11,
11,020,LEON,1539,110201539,11,
11,020,LEON,1540,110201540,11,
11,020,LEON,1541,110201541,11,
11,020,LEON,1542,110201542,11,
11,020,LEON,1543,110201543,11,
11,020,LEON,1544,110201544,11,
11,020,LEON,1545,110201545,11,
11,020,LEON,1546,110201546,11,
11,020,LEON,1547,110201547,11,
11,020,LEON,1548,110201548,11,
11,020,LEON,1549,110201549,11,
11,020,LEON,1550,110201550,11,
11,020,LEON,1551,110201551,11,
11,020,LEON,1552,110201552,11,
11,020,LEON,1553,110201553,11,
11,020,LEON,1554,110201554,11,
11,020,LEON,1555,110201555,11,
11,020,LEON,1556,110201556,11,
11,020,LEON,1557,110201557,11,
11,020,LEON,1558,110201558,11,
11,020,LEON,1559,110201559,11,
11,020,LEON,1560,110201560,11,
11,020,LEON,1561,110201561,11,
11,020,LEON,1562,110201562,11,
11,020,LEON,1563,110201563,11,
11,020,LEON,1564,110201564,11,
11,020,LEON,1565,110201565,11,
11,020,LEON,1566,110201566,11,
11,020,LEON,1567,110201567,11,
11,020,LEON,1568,110201568,11,
11,020,LEON,1569,110201569,11,
11,020,LEON,1570,110201570,11,
11,020,LEON,1571,110201571,11,
11,020,LEON,1572,110201572,11,
11,020,LEON,1573,110201573,11,
11,020,LEON,1574,110201574,11,
11,020,LEON,1575,110201575,11,
11,020,LEON,1576,110201576,11,
11,020,LEON,1577,110201577,11,
11,020,LEON,1578,110201578,11,
11,020,LEON,1579,110201579,11,
11,020,LEON,1580,110201580,11,
11,020,LEON,1581,110201581,11,
11,020,LEON,1582,110201582,11,
11,020,LEON,1583,110201583,11,
11,020,LEON,1584,110201584,11,
11,020,LEON,1585,110201585,11,
11,020,LEON,1586,110201586,11,
11,020,LEON,1587,110201587,11,
11,020,LEON,1588,110201588,11,
11,020,LEON,1589,110201589,11,
11,020,LEON,1590,110201590,11,
11,020,LEON,1591,110201591,11,
11,020,LEON,1592,110201592,11,
11,020,LEON,1593,110201593,11,
11,020,LEON,1594,110201594,11,
11,020,LEON,1595,110201595,11,
11,020,LEON,1596,110201596,11,
11,020,LEON,1597,110201597,11,
11,020,LEON,1598,110201598,11,
11,020,LEON,1599,110201599,11,
11,020,LEON,1600,110201600,11,
11,020,LEON,1601,110201601,11,
11,020,LEON,1602,110201602,5,
11,020,LEON,1603,110201603,11,
11,020,LEON,1604,110201604,11,
11,020,LEON,1605,110201605,11,
11,020,LEON,1606,110201606,11,
11,020,LEON,1607,110201607,11,
11,020,LEON,1608,110201608,11,
11,020,LEON,1609,110201609,11,
11,020,LEON,1610,110201610,11,
11,020,LEON,1611,110201611,11,
11,020,LEON,1612,110201612,11,
11,020,LEON,1613,110201613,11,
11,020,LEON,1615,110201615,11,
11,020,LEON,1616,110201616,11,
11,020,LEON,1617,110201617,11,
11,020,LEON,1618,110201618,11,
11,020,LEON,1619,110201619,11,
11,020,LEON,1620,110201620,11,
11,020,LEON,1621,110201621,11,
11,020,LEON,1622,110201622,11,
11,020,LEON,1623,110201623,11,
11,020,LEON,1624,110201624,11,
11,020,LEON,1625,110201625,11,
11,020,LEON,1626,110201626,11,
11,020,LEON,1627,110201627,5,
11,020,LEON,1628,110201628,11,
11,020,LEON,1629,110201629,11,
11,020,LEON,1630,110201630,11,
11,020,LEON,1631,110201631,11,
11,020,LEON,1635,110201635,11,
11,020,LEON,1636,110201636,11,
11,020,LEON,1637,110201637,11,
11,020,LEON,1638,110201638,11,
11,020,LEON,1639,110201639,11,
11,020,LEON,1640,110201640,5,
11,020,LEON,1641,110201641,11,
11,020,LEON,1645,110201645,11,
11,020,LEON,1646,110201646,11,
11,020,LEON,1648,110201648,5,
11,020,LEON,1649,110201649,11,
11,020,LEON,1650,110201650,11,
11,020,LEON,1651,110201651,11,
11,020,LEON,1652,110201652,11,
11,020,LEON,1653,110201653,11,
11,020,LEON,1654,110201654,6,
11,020,LEON,1655,110201655,11,
11,020,LEON,1656,110201656,11,
11,020,LEON,1657,110201657,11,
11,020,LEON,1658,110201658,11,
11,020,LEON,1659,110201659,11,
11,020,LEON,1660,110201660,6,
11,020,LEON,1661,110201661,6,
11,020,LEON,1662,110201662,11,
11,020,LEON,1663,110201663,11,
11,020,LEON,1664,110201664,11,
11,020,LEON,1665,110201665,11,
11,020,LEON,1666,110201666,11,
11,020,LEON,1667,110201667,11,
11,020,LEON,1668,110201668,11,
11,020,LEON,1669,110201669,11,
11,020,LEON,1670,110201670,11,
11,020,LEON,1671,110201671,11,
11,020,LEON,1672,110201672,11,
11,020,LEON,1673,110201673,11,
11,020,LEON,1674,110201674,3,
11,020,LEON,1675,110201675,3,
11,020,LEON,1676,110201676,3,
11,020,LEON,1677,110201677,3,
11,020,LEON,1678,110201678,3,
11,020,LEON,1679,110201679,3,
11,020,LEON,1680,110201680,3,
11,020,LEON,1682,110201682,3,
11,020,LEON,1683,110201683,3,
11,020,LEON,1684,110201684,3,
11,020,LEON,1685,110201685,3,
11,020,LEON,1686,110201686,3,
11,020,LEON,1688,110201688,3,
11,020,LEON,1689,110201689,3,
11,020,LEON,1690,110201690,3,
11,020,LEON,1691,110201691,3,
11,020,LEON,1692,110201692,3,
11,020,LEON,1693,110201693,3,
11,020,LEON,1694,110201694,3,
11,020,LEON,1695,110201695,3,
11,020,LEON,1696,110201696,3,
11,020,LEON,1697,110201697,3,
11,020,LEON,1698,110201698,3,
11,020,LEON,1699,110201699,3,
11,020,LEON,1700,110201700,3,
11,020,LEON,1701,110201701,3,
11,020,LEON,1702,110201702,3,
11,020,LEON,1703,110201703,3,
11,020,LEON,1704,110201704,3,
11,020,LEON,1705,110201705,3,
11,020,LEON,1706,110201706,3,
11,020,LEON,1707,110201707,3,
